;AAPL UW Equity;UNH UN Equity;HD UN Equity;MSFT UW Equity;MCD UN Equity;V UN Equity;GS UN Equity;BA UN Equity;MMM UN Equity;JNJ UN Equity;CAT UN Equity;PG UN Equity;WMT UN Equity;DIS UN Equity;IBM UN Equity;TRV UN Equity;NKE UN Equity;JPM UN Equity;AXP UN Equity;CVX UN Equity;MRK UN Equity;RTX UN Equity;VZ UN Equity;INTC UW Equity;KO UN Equity;DOW UN Equity;CSCO UW Equity;XOM UN Equity;WBA UW Equity;PFE UN Equity;AAPL UW Equity;UNH UN Equity;HD UN Equity;MSFT UW Equity;MCD UN Equity;V UN Equity;GS UN Equity;BA UN Equity;MMM UN Equity;JNJ UN Equity;CAT UN Equity;PG UN Equity;WMT UN Equity;DIS UN Equity;IBM UN Equity;TRV UN Equity;NKE UN Equity;JPM UN Equity;AXP UN Equity;CVX UN Equity;MRK UN Equity;RTX UN Equity;VZ UN Equity;INTC UW Equity;KO UN Equity;DOW UN Equity;CSCO UW Equity;XOM UN Equity;WBA UW Equity;PFE UN Equity;AAPL UW Equity;UNH UN Equity;HD UN Equity;MSFT UW Equity;MCD UN Equity;V UN Equity;GS UN Equity;BA UN Equity;MMM UN Equity;JNJ UN Equity;CAT UN Equity;PG UN Equity;WMT UN Equity;DIS UN Equity;IBM UN Equity;TRV UN Equity;NKE UN Equity;JPM UN Equity;AXP UN Equity;CVX UN Equity;MRK UN Equity;RTX UN Equity;VZ UN Equity;INTC UW Equity;KO UN Equity;DOW UN Equity;CSCO UW Equity;XOM UN Equity;WBA UW Equity;PFE UN Equity;AAPL UW Equity;UNH UN Equity;HD UN Equity;MSFT UW Equity;MCD UN Equity;V UN Equity;GS UN Equity;BA UN Equity;MMM UN Equity;JNJ UN Equity;CAT UN Equity;PG UN Equity;WMT UN Equity;DIS UN Equity;IBM UN Equity;TRV UN Equity;NKE UN Equity;JPM UN Equity;AXP UN Equity;CVX UN Equity;MRK UN Equity;RTX UN Equity;VZ UN Equity;INTC UW Equity;KO UN Equity;DOW UN Equity;CSCO UW Equity;XOM UN Equity;WBA UW Equity;PFE UN Equity;AAPL UW Equity;UNH UN Equity;HD UN Equity;MSFT UW Equity;MCD UN Equity;V UN Equity;GS UN Equity;BA UN Equity;MMM UN Equity;JNJ UN Equity;CAT UN Equity;PG UN Equity;WMT UN Equity;DIS UN Equity;IBM UN Equity;TRV UN Equity;NKE UN Equity;JPM UN Equity;AXP UN Equity;CVX UN Equity;MRK UN Equity;RTX UN Equity;VZ UN Equity;INTC UW Equity;KO UN Equity;DOW UN Equity;CSCO UW Equity;XOM UN Equity;WBA UW Equity;PFE UN Equity;AAPL UW Equity;UNH UN Equity;HD UN Equity;MSFT UW Equity;MCD UN Equity;V UN Equity;GS UN Equity;BA UN Equity;MMM UN Equity;JNJ UN Equity;CAT UN Equity;PG UN Equity;WMT UN Equity;DIS UN Equity;IBM UN Equity;TRV UN Equity;NKE UN Equity;JPM UN Equity;AXP UN Equity;CVX UN Equity;MRK UN Equity;RTX UN Equity;VZ UN Equity;INTC UW Equity;KO UN Equity;DOW UN Equity;CSCO UW Equity;XOM UN Equity;WBA UW Equity;PFE UN Equity
30.06.1999;1558;4858;10431;5764;3407,1001;#N/A N/A;6355;15122;3885;6971;5101;9450;38470;5489;21905;1998;2182,3;12726;5298;7487;8018,2;5984;8295;6746;5335;#N/A N/A;3558;37236;4571,3999;6516;104;225;1116;2903;876;#N/A N/A;3656;777;1004;1664;438;877;1774;981;4085;;173,6;;1150;422;1980,9;638;2147;2320;1390;#N/A N/A;898;2020;256,3;1728;203;135;679;2202;518,1;#N/A N/A;340;701;476;1164;283;414;1251;368;2391;204;94,5;1897;646;350;1478,1;1077;1167;1749;942;#N/A N/A;605;1954;159,3;1161;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;123;280;1230;3315;1113,7;#N/A N/A;3717;1579;1230;1992;673;1769;2300;1742;6553;;214,5;;1789;1036;2273,2;835;3688;3111;1600;#N/A N/A;1052;4009;311,1;2013
30.09.1999;1336;4903;9877;5384;3444,2;#N/A N/A;6440;13279;4021;6884;4715;9919;40432;5781;21144;1856;2501,1;12726;5311;8942;8195,7;6068;8304;7328;5139;#N/A N/A;3918;43024;4560,3999;6746;67;239;939;2767;873,8;#N/A N/A;4114;614;940;1564;336;1847;1919;496;2680;;339,9;;1169;1011;1990;119;2118;2389;1099;#N/A N/A;1035;3147;259,1;1572;111;144;573;2191;540,9;#N/A N/A;638;477;459;1111;219;1147;1294;85;1762;327;200,2;1897;648;582;1539,6;90;1174;1458;787;#N/A N/A;415;2188;160,6;1108;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;86;300;1056;3112;1122,4;#N/A N/A;4185;1817;1160;1953;571;2365;2475;1367;4137;;383,4;;1753;1778;2275,3;328;3675;3314;1308;#N/A N/A;1179;5138;312;1798
31.12.1999;2343;4992;9174;6112;3372,8999;#N/A N/A;6712;15200;4047;6877;5019;10588;51394;6940;24182;1741;2059,7;13933;5698;9622;8963,4;6410;33628;8212;4803;#N/A N/A;4357;83591;4823,2002;4506;100;258;930;2912;772,3;#N/A N/A;4448;945;740;939;368;1842;3501;872;3022;;196,9;;1145;1220;2948,5;47;8231;2813;349;#N/A N/A;1089;5916;210,2;1045;183;157;579;2436;486,2;#N/A N/A;723;662;444;754;239;1126;1916;315;2089;138;107,5;2202;606;809;1573,2;56;4777;2108;-45;#N/A N/A;816;4185;127,8;954;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;120;320;1055;3237;1008,2;#N/A N/A;4556;1387;893;1284;611;2405;4264;1328;4278;;244,4;;1685;2120;3230,8;277;13519;3902;532;#N/A N/A;1253;10026;263,3;1206
31.03.2000;1945;5099;11112;5656;3343,8;#N/A N/A;7964;9910;4075;7319;4919;9783;42985;6307;19348;2143;2161,6;14795;5657;11531;8851,4;6390;14532;7993;4391;#N/A N/A;4933;47780;5608,7998;7161;170;273;1017;2696;739,3;#N/A N/A;4950;525;765;1861;416;1320;2002;414;2133;;242,8;;1219;1782;1998,4;667;3731;2616;920;#N/A N/A;1201;5234;391,2;2106;233;174;629;2385;450,9;#N/A N/A;887;418;487;1314;258;753;1326;77;1519;358;145,3;1988;656;1044;1499,6;377;1515;2696;-58;#N/A N/A;641;3480;238,9;-204;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;191;335;1154;2971;995,1;#N/A N/A;5051;877;993;2292;682;1827;2658;985;3361;;381,1;;1897;2433;2318,3;879;6322;3826;1137;#N/A N/A;1361;7362;448;2350
30.06.2000;1825;5220;12618;5804;3560,6001;#N/A N/A;8196;14841;4243;7670;5363;9661;46112;6053;21651;1967;2272,7;14479;5970;13049;9477,1;6961;16787;8300;5621;#N/A N/A;5720;49479;5394,1;6989;168;288;1359;2537;825,6;#N/A N/A;5299;913;777;1867;549;945;2443;778;2727;;205,3;;1391;2085;2352,7;878;2156;2429;1476;#N/A N/A;1283;6124;312,8;1899;200;170;838;2409;525,9;#N/A N/A;755;620;470;1363;315;516;1596;361;1941;212;126,1;1633;740;1116;1721,7;509;4907;3137;926;#N/A N/A;796;4530;193,6;1150;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;193;349;1505;2842;1099,1;#N/A N/A;5401;1259;1006;2268;1082;1548;3118;1380;3745;;255;;2304;2784;2671,6;1095;7967;3587;1702;#N/A N/A;1678;8063;374,4;2128
29.09.2000;1870;5369;11545;5766;3749;#N/A N/A;8851;11877;4270;7438;4779;9969;45676;6034;21781;1861;2636,7;14754;5981;13345;10567,5;6465;16557;8731;5543;#N/A N/A;6519;52178;5380,7998;7158;84;309;1054;2777;850,2;#N/A N/A;5697;850;700;1741;311;1779;2064;39;2814;;366,4;;1381;2495;2518,2;850;3719;2865;1327;#N/A N/A;1411;6179;309,9;2238;170;182;650;2206;548,5;#N/A N/A;824;609;499;1323;216;1155;1369;289;1963;231;210,2;1398;737;1531;1835,9;496;3470;2509;1067;#N/A N/A;798;4490;216,6;1361;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;102;371;1208;3027;1100,4;#N/A N/A;5816;1211;980;2148;1082;2282;2747;1615;3979;;412,4;;2093;3296;2841;1060;12741;4087;1456;#N/A N/A;1845;8080;368,5;2472
29.12.2000;1007;5434;10463;6550;3589,6001;#N/A N/A;7989;14693;4136;7298;5114;10182;56556;7433;25616;2001;2198,7;14922;6067;32219;11467,2;6767;16873;8702;4733;#N/A N/A;6748;56646;5614,2002;8167;-420;330;759;3194;718,2;#N/A N/A;5774;1229;631;1184;461;1711;3016;857;3960;;198,3;;1271;673;2219,8;745;2139;2594;1317;#N/A N/A;1269;7642;257,6;2471;-195;210;465;2624;452;#N/A N/A;601;481;326;936;264;1194;2004;-36;2670;192;119,4;708;677;2039;1764,5;426;1912;2193;242;#N/A N/A;874;5220;158,4;1420;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;-396;392;923;3433;949,4;#N/A N/A;5938;1649;919;1516;746;2184;3870;1387;5324;;244,8;;2058;1842;2535,5;965;5370;3839;1518;#N/A N/A;1809;9804;317;2732
30.03.2001;1431;5680;12200;6403;3511,7;#N/A N/A;9502;13293;4164;7855;4810;9511;48052;6049;20309;2162;2170,1;15015;5719;27248;11345,1;6671;16266;6677;3959;#N/A N/A;4728;50782;6429;7584;-8;365;1027;2998;673,6;#N/A N/A;6028;1196;737;2119;309;1302;2059;732;2243;;168,4;;1102;4097;2164,4;777;3607;717;1280;#N/A N/A;-2522;7406;456,9;2813;43;212;632;2451;378,3;#N/A N/A;768;1237;453;1552;162;893;1380;-567;1750;202;97,4;1199;538;2433;1657,3;440;1572;485;863;#N/A N/A;-2693;5000;296,9;1930;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;14;429;1204;3481;943,5;#N/A N/A;6224;1580;984;2531;598;1759;2810;1151;3476;;220,5;;2105;5254;2524,6;999;6967;2236;1466;#N/A N/A;-1881;9382;526;3067
29.06.2001;1475;5813;14576;6577;3707,5;#N/A N/A;8158;15516;4073;8179;5488;9582;52799;5960;20834;2163;2483,3;12559;5268;29120;11893,1;7332;16909;6334;4653;#N/A N/A;4298;49875;6296,2002;7622;42;384;1496;2751;753,4;#N/A N/A;5114;1345;334;2176;458;-56;2494;883;2521;;281,1;;565;3744;2368;989;3796;340;1513;#N/A N/A;-137;6109;345,5;2610;61;223;924;65;440,9;#N/A N/A;577;840;202;1482;271;-320;1622;392;2045;104;162,7;378;178;2108;1815,4;588;-1021;196;1118;#N/A N/A;7;4460;213,4;1829;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;68;448;1685;3315;1022,2;#N/A N/A;5323;1702;590;2568;751;782;3224;1151;3564;;333,9;;2148;4912;2731,4;1214;7196;1163;1712;#N/A N/A;484;7980;413,6;2878
28.09.2001;1450;5941;13289;6126;3879,3;#N/A N/A;7360;13686;3961;8058;5056;9766;52738;5786;19783;2225;2613,7;12399;5724;23750;11919,6;6920;17004;6545;4695;#N/A N/A;4448;45816;6283,6001;7824;53;396;1257;2897;746,6;#N/A N/A;4466;1117;620;2060;341;1762;2237;360;2097;;332,7;;1189;2733;2721,2;822;3677;389;1311;#N/A N/A;382;4605;338,3;2862;66;231;778;1283;545,5;#N/A N/A;468;650;394;1529;205;1104;1481;53;1595;-659;199,2;449;298;1269;1948,2;565;1875;106;1074;#N/A N/A;-268;3180;216,9;2072;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;83;463;1455;3179;1017,5;#N/A N/A;4692;1468;915;2497;631;2144;3044;757;3243;;386,4;;2220;3905;3089,7;1042;7079;2052;1712;#N/A N/A;841;6562;410,9;3112
31.12.2001;1375;6020;13488;7741;3771,5;#N/A N/A;6118;15702;3856;8403;5096;10403;64210;7048;22141;2387;2336,8;10456;5871;21498;12557,9;6974;17011;6983;4238;#N/A N/A;4816;40335;6559,3999;5994;20;421;1152;3286;780,8;#N/A N/A;3415;1058;494;1475;203;1864;3274;646;2994;;217,7;;970;-1811;2724,2;645;802;1008;1248;#N/A N/A;753;3390;292;2423;38;247;710;2283;271,9;#N/A N/A;497;100;381;1105;167;1299;2188;438;2333;-735;129,3;-332;297;-2522;1860,9;345;-2026;504;914;#N/A N/A;660;2680;185,9;1957;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;48;491;1352;3581;1057,5;#N/A N/A;3657;1709;785;3080;500;2266;4276;899;4078;;271;;1832;2685;3095,9;883;4297;2740;1480;#N/A N/A;1229;5434;364,8;2719
28.03.2002;1495;6013;14282;7245;3597,4;#N/A N/A;5700;13821;3890;8743;4409;9900;52126;5856;18030;2317;2260,3;10957;5759;19156;12169,3;6374;16430;6781;4079;#N/A N/A;4822;37801;7488,5;7747;28;482;1362;3298;641,3;#N/A N/A;2941;1015;713;2612;170;1654;2789;603;1342;;201;;1116;1346;2142,1;797;3291;1315;1158;#N/A N/A;874;2713;523,4;3081;40;295;856;2738;253,1;#N/A N/A;524;-1249;452;1834;80;1039;1631;259;1192;139;126,3;982;618;725;1625;467;-501;936;-194;#N/A N/A;729;2090;326,6;1963;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;57;538;1571;3446;895,3;#N/A N/A;3109;1337;963;3024;466;2058;3563;856;2428;;258;;2022;2551;2504,2;972;6611;2611;1353;#N/A N/A;1292;4733;597,2;3352
28.06.2002;1429;6078;16277;7253;3862,1;#N/A N/A;6234;13856;4161;9073;5291;10169;56271;5795;19651;2314;2682,2;11190;5945;19156;12809,7;7324;16752;6319;5368;#N/A N/A;4829;44322;7397,8999;7296;13;523;1877;1230;845,2;#N/A N/A;3284;1203;686;2542;393;1398;2841;743;784;;316,5;;1225;1346;2408,1;1031;2686;653;1652;#N/A N/A;910;3558;414,1;2493;32;325;1182;1525;497,5;#N/A N/A;563;779;466;1654;200;910;2019;364;56;-223;208,5;1028;683;725;1750,7;624;-2115;446;1290;#N/A N/A;772;2640;259;1957;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;41;585;2102;1589;1097,9;#N/A N/A;3469;1531;932;2962;991;1903;3636;1012;2318;;376;;2294;2551;2773,2;1220;6042;2047;1855;#N/A N/A;1514;5578;492,5;2758
30.09.2002;1443;6247;14475;7746;4047;#N/A N/A;5872;12690;4143;9079;5075;10796;55241;6662;19821;2297;2796,3;10527;5907;25681;5426,1;7299;17113;6504;5322;#N/A N/A;4845;47411;7235,2998;7996;-15;572;1496;3028;809,8;#N/A N/A;3017;566;851;2510;324;2179;2524;392;2123;;352,3;;1221;1611;2338,5;1002;3487;970;1545;#N/A N/A;1168;3836;394,7;3078;-45;353;940;2041;486,7;#N/A N/A;522;372;545;1725;213;1464;1797;175;1313;63;-48,9;40;687;-904;1884;612;4405;686;1161;#N/A N/A;618;2640;247,7;2350;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;18;638;1727;3301;1090,8;#N/A N/A;3209;920;1083;2952;636;2589;3372;659;3204;;408,7;;1971;1920;2534,9;1175;6807;2350;1746;#N/A N/A;1578;6031;477;3353
